REGION,TIMESLICE,FUEL,YEAR,VALUE
"REGION1","S04B1","SEE2",2049,14.593354038
"REGION1","S04B1","SEE2",2050,14.70329558
"REGION1","S04B1","SEE2",2051,14.762121572
"REGION1","S04B1","SEE2",2052,14.82116927
"REGION1","S04B1","SEE2",2053,14.880438674
"REGION1","S04B1","SEE2",2054,14.939979052
"REGION1","S04B1","SEE2",2055,14.999716502
"REGION1","S04B1","SEE2",2056,15.04472282
"REGION1","S04B1","SEE2",2057,15.089852308
"REGION1","S04B1","SEE2",2058,15.1351296
"REGION1","S04B1","SEE2",2059,15.180530062
"REGION1","S04B1","SEE2",2060,15.226078328
"REGION1","S04B2","SEE2",2015,36.572423739
"REGION1","S04B2","SEE2",2016,36.933412167
"REGION1","S04B2","SEE2",2017,37.294479276
"REGION1","S04B2","SEE2",2018,37.655546385
"REGION1","S04B2","SEE2",2019,38.016534813
"REGION1","S04B2","SEE2",2020,38.377601922
"REGION1","S04B2","SEE2",2021,38.604911331
"REGION1","S04B2","SEE2",2022,38.83222074
"REGION1","S04B2","SEE2",2023,39.059530149
"REGION1","S04B2","SEE2",2024,39.286839558
"REGION1","S04B2","SEE2",2025,39.514148967
"REGION1","S04B2","SEE2",2026,39.782293815
"REGION1","S04B2","SEE2",2027,40.050438663
"REGION1","S04B2","SEE2",2028,40.318583511
"REGION1","S04B2","SEE2",2029,40.586728359
"REGION1","S04B2","SEE2",2030,40.854873207
"REGION1","S04B2","SEE2",2031,41.074943964
"REGION1","S04B2","SEE2",2032,41.295014721
"REGION1","S04B2","SEE2",2033,41.515006797
"REGION1","S04B2","SEE2",2034,41.735077554
"REGION1","S04B2","SEE2",2035,41.955148311
"REGION1","S04B2","SEE2",2036,42.210074751
"REGION1","S04B2","SEE2",2037,42.465079872
"REGION1","S04B2","SEE2",2038,42.720084993
"REGION1","S04B2","SEE2",2039,42.975011433
"REGION1","S04B2","SEE2",2040,43.230016554
"REGION1","S04B2","SEE2",2041,43.625309898
"REGION1","S04B2","SEE2",2042,44.020603242
"REGION1","S04B2","SEE2",2043,44.415896586
"REGION1","S04B2","SEE2",2044,44.81118993
"REGION1","S04B2","SEE2",2045,45.206561955
"REGION1","S04B2","SEE2",2046,45.557715258
"REGION1","S04B2","SEE2",2047,45.908868561
"REGION1","S04B2","SEE2",2048,46.260021864
"REGION1","S04B2","SEE2",2049,46.611175167
"REGION1","S04B2","SEE2",2050,46.96232847
"REGION1","S04B2","SEE2",2051,47.150218698
"REGION1","S04B2","SEE2",2052,47.338817055
"REGION1","S04B2","SEE2",2053,47.528123541
"REGION1","S04B2","SEE2",2054,47.718295518
"REGION1","S04B2","SEE2",2055,47.909096943
"REGION1","S04B2","SEE2",2056,48.05284713
"REGION1","S04B2","SEE2",2057,48.196990722
"REGION1","S04B2","SEE2",2058,48.3416064
"REGION1","S04B2","SEE2",2059,48.486615483
"REGION1","S04B2","SEE2",2060,48.632096652
"REGION1","S04B3","SEE2",2015,6.4579627765
"REGION1","S04B3","SEE2",2016,6.5217061545
"REGION1","S04B3","SEE2",2017,6.585463426
"REGION1","S04B3","SEE2",2018,6.6492206975
"REGION1","S04B3","SEE2",2019,6.7129640755
"REGION1","S04B3","SEE2",2020,6.776721347
"REGION1","S04B3","SEE2",2021,6.8168596685
"REGION1","S04B3","SEE2",2022,6.85699799
"REGION1","S04B3","SEE2",2023,6.8971363115
"REGION1","S04B3","SEE2",2024,6.937274633
"REGION1","S04B3","SEE2",2025,6.9774129545
"REGION1","S04B3","SEE2",2026,7.0247620025
"REGION1","S04B3","SEE2",2027,7.0721110505
"REGION1","S04B3","SEE2",2028,7.1194600985
"REGION1","S04B3","SEE2",2029,7.1668091465
"REGION1","S04B3","SEE2",2030,7.2141581945
"REGION1","S04B3","SEE2",2031,7.253018314
"REGION1","S04B3","SEE2",2032,7.2918784335
"REGION1","S04B3","SEE2",2033,7.3307246595
"REGION1","S04B3","SEE2",2034,7.369584779
"REGION1","S04B3","SEE2",2035,7.4084448985
"REGION1","S04B3","SEE2",2036,7.4534598385
"REGION1","S04B3","SEE2",2037,7.498488672
"REGION1","S04B3","SEE2",2038,7.5435175055
"REGION1","S04B3","SEE2",2039,7.5885324455
"REGION1","S04B3","SEE2",2040,7.633561279
"REGION1","S04B3","SEE2",2041,7.703362223
"REGION1","S04B3","SEE2",2042,7.773163167
"REGION1","S04B3","SEE2",2043,7.842964111
"REGION1","S04B3","SEE2",2044,7.912765055
"REGION1","S04B3","SEE2",2045,7.9825798925
"REGION1","S04B3","SEE2",2046,8.044586583
"REGION1","S04B3","SEE2",2047,8.1065932735
"REGION1","S04B3","SEE2",2048,8.168599964
"REGION1","S04B3","SEE2",2049,8.2306066545
"REGION1","S04B3","SEE2",2050,8.292613345
"REGION1","S04B3","SEE2",2051,8.325791023
"REGION1","S04B3","SEE2",2052,8.3590937425
